Username,Comment
@kaustavpal8476,😍❤❤
@shanebeard2044,Ahloa I’m shanebearddj 😅😅
@surbhighildiyal1735,So nostalgic this song !
@Sunshinesbrightly,Excellent dance Rani is a great dancer. But Abhishek pulled it off. Hats off to shamak!
@shilpisaini7467,This video is enough to raise my positive vibration 🎉❤
@saneerjohndas6858,♥️2024❤️
@futureprez8483,2005 to 2024
@sourabhlila957,Rani in that last white outfit!! OMG!! Such killer moves and what a look.. 💥💥💥
@Naman-lf7tt,DISCO SONG
@hemangikadam7066,8TH JAN 2024❤
@DilshadKhan-wz3bu,😂😂😂😂😂😂😂😂😂❤❤❤❤🥰🥰🥰🥰🥰🥰🙃🙃🙃🥳🥳🥳❤️
@meeranageswaran3750,To dance like that in heels is so amazing! Well done Rani Mukrajee
@sonatehotaru4556,"Rani Mukherjee one of the best actresses in bollywood. I love her.
💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕"
@FunnyTrophy-sj2in,Love the dance amazing ❤❤
@zakiyodha1698,Very energic
@nasiruddinsheikh9639,Dekhte dekhte 18 sal ho gaya.  Jab  2006 sal ki secondary examination ke liye  preparation  ho raha tha tab is gana radio mirchi me bohut bajti thi.
@DivyaPurohit-ms2cn,Kon kon ye song 2024 me sun rha h happy new year😊😊
@rohanrouth663,Tab tha 4 sal ka aub hu 22+ aur meri college ak gf vi hai 😊
@Blacksword100,Chlo
@atasighosh1787,Banti aamake tomar love banie nao
@nkp-ov1ez,Rani Mukherjee is looking so beautiful in this song as well in the Movie.. My Favourite Couples..
@mubangamumba203,Why am i getting nostalgia vibes but this is my first time listening and watching this masterpiece❤🎉😊
@IAS-j6j,22dec2023 Biggest Fan this Song On Headphone..
@shagalsingh1067,2023❤
@SheikhShuparnaHaque,"Samad is an amazing choreographer,  made Abhishek dance...  Lol but without Abhishek this song and dance is amazing..  Rani nailed it alone"
@yogenderrawat963,Very hard step and dance but I  am forget step
@PalAujla-s3n,❤
@shanebeard2044,Ahloa I’m shanebearddj 🎉🎉🎉
@mihirshah8955,1:22 O lendiya kara du?
@aleezazaid9901,Top rocking song tha us tym ka ye..
@emm7510,Abhishek so zesty😭
@mdsazzad2394,I used to listen to this song when I was a child. Today I heard it again after many years and remembered my childhood
